episode_returns,episode_lengths,total_episodes
10.0,11,5000
-174.0,141,5000
3.0,18,5000
-110.0,104,5000
-43.0,46,5000
-24.0,45,5000
-2.0,14,5000
13.0,8,5000
-44.0,65,5000
-116.0,101,5000
1.0,11,5000
-134.0,101,5000
4.0,17,5000
-90.0,84,5000
-67.0,61,5000
4.0,17,5000
0.0,12,5000
-3.0,15,5000
-14.0,26,5000
-4.0,16,5000
11.0,10,5000
-76.0,70,5000
-28.0,40,5000
-38.0,41,5000
-28.0,49,5000
-140.0,116,5000
-39.0,42,5000
-7.0,28,5000
-107.0,74,5000
-30.0,42,5000
11.0,10,5000
-158.0,143,5000
-9.0,21,5000
3.0,18,5000
9.0,12,5000
-19.0,31,5000
15.0,6,5000
-56.0,50,5000
-63.0,75,5000
-39.0,42,5000
-109.0,85,5000
8.0,13,5000
12.0,9,5000
-21.0,33,5000
15.0,6,5000
13.0,8,5000
-12.0,15,5000
-27.0,39,5000
-49.0,61,5000
2.0,10,5000
-8.0,29,5000
2.0,10,5000
-2.0,14,5000
-63.0,84,5000
-186.0,144,5000
-160.0,127,5000
-42.0,36,5000
-13.0,34,5000
-24.0,27,5000
-131.0,98,5000
-15.0,36,5000
7.0,14,5000
12.0,9,5000
13.0,8,5000
-26.0,29,5000
-18.0,39,5000
-30.0,42,5000
-16.0,28,5000
-61.0,64,5000
7.0,14,5000
-63.0,57,5000
-48.0,51,5000
10.0,11,5000
-77.0,62,5000
0.0,21,5000
-48.0,51,5000
1.0,20,5000
-56.0,68,5000
-13.0,16,5000
-97.0,91,5000
-36.0,39,5000
8.0,13,5000
-120.0,114,5000
-81.0,75,5000
-14.0,17,5000
-64.0,67,5000
-13.0,25,5000
-58.0,52,5000
-2.0,14,5000
12.0,9,5000
-110.0,104,5000
-3.0,24,5000
15.0,6,5000
-10.0,31,5000
-33.0,36,5000
-3.0,15,5000
12.0,9,5000
-6.0,9,5000
6.0,15,5000
-69.0,54,5000
9.0,12,5000
12.0,9,5000
-40.0,43,5000
-135.0,102,5000
7.0,14,5000
-98.0,74,5000
-1.0,13,5000
7.0,14,5000
-41.0,53,5000
-41.0,26,5000
-11.0,23,5000
-38.0,50,5000
13.0,8,5000
-16.0,28,5000
0.0,12,5000
-48.0,60,5000
3.0,18,5000
-60.0,63,5000
-127.0,94,5000
-128.0,113,5000
-38.0,59,5000
-16.0,19,5000
-9.0,21,5000
-77.0,62,5000
-6.0,18,5000
7.0,14,5000
-2.0,14,5000
-4.0,25,5000
10.0,11,5000
8.0,13,5000
-4.0,16,5000
-33.0,45,5000
-13.0,25,5000
9.0,12,5000
-34.0,46,5000
-61.0,55,5000
-43.0,46,5000
-89.0,92,5000
-7.0,19,5000
-4.0,16,5000
-3.0,24,5000
-43.0,55,5000
10.0,11,5000
-9.0,12,5000
-22.0,43,5000
-81.0,66,5000
6.0,15,5000
8.0,13,5000
11.0,10,5000
-8.0,20,5000
-37.0,40,5000
1.0,20,5000
-33.0,27,5000
-50.0,62,5000
-17.0,38,5000
5.0,16,5000
-53.0,65,5000
11.0,10,5000
-12.0,15,5000
-14.0,26,5000
11.0,10,5000
-24.0,27,5000
-16.0,28,5000
-49.0,43,5000
-49.0,52,5000
